Data Year,Fuel Type,ZIP,Number of Vehicles
2022,Battery Electric (BEV),95010,179
2022,Battery Electric (BEV),95009,1
2022,Battery Electric (BEV),95008,1876
2022,Battery Electric (BEV),95007,8
2022,Battery Electric (BEV),95006,162
2022,Battery Electric (BEV),95005,122
2022,Battery Electric (BEV),95004,72
2022,Battery Electric (BEV),95003,751
2022,Battery Electric (BEV),95002,47
2022,Battery Electric (BEV),95001,19
2022,Battery Electric (BEV),94979,1
2022,Battery Electric (BEV),94978,3
2022,Battery Electric (BEV),94977,1
2022,Battery Electric (BEV),94976,5
2022,Battery Electric (BEV),94975,4
2022,Battery Electric (BEV),94973,56
2022,Battery Electric (BEV),94972,5
2022,Battery Electric (BEV),94971,18
2022,Battery Electric (BEV),94970,24
2022,Battery Electric (BEV),94966,8
2022,Battery Electric (BEV),94965,507
2022,Battery Electric (BEV),94964,7
2022,Battery Electric (BEV),94963,29
2022,Battery Electric (BEV),94960,763
2022,Battery Electric (BEV),94957,197
2022,Battery Electric (BEV),94956,44
2022,Battery Electric (BEV),94954,666
2022,Battery Electric (BEV),94953,13
2022,Battery Electric (BEV),94952,948
2022,Battery Electric (BEV),94951,118
2022,Battery Electric (BEV),94950,6
2022,Battery Electric (BEV),94949,588
2022,Battery Electric (BEV),94948,7
2022,Battery Electric (BEV),94947,593
2022,Battery Electric (BEV),94946,47
2022,Battery Electric (BEV),94945,532
2022,Battery Electric (BEV),94942,7
2022,Battery Electric (BEV),94941,1911
2022,Battery Electric (BEV),94940,7
2022,Battery Electric (BEV),94939,376
2022,Battery Electric (BEV),94938,24
2022,Battery Electric (BEV),94937,58
2022,Battery Electric (BEV),94933,28
2022,Battery Electric (BEV),94931,160
2022,Battery Electric (BEV),94930,269
2022,Battery Electric (BEV),94929,10
2022,Battery Electric (BEV),94928,503
2022,Battery Electric (BEV),94925,538
2022,Battery Electric (BEV),94924,36
2022,Battery Electric (BEV),94923,58
2022,Battery Electric (BEV),94922,10
2022,Battery Electric (BEV),94920,1011
2022,Battery Electric (BEV),94915,3
2022,Battery Electric (BEV),94913,10
2022,Battery Electric (BEV),94912,5
2022,Battery Electric (BEV),94904,793
2022,Battery Electric (BEV),94903,1118
2022,Battery Electric (BEV),94901,1258
2022,Battery Electric (BEV),94820,2
2022,Battery Electric (BEV),94807,4
2022,Battery Electric (BEV),94806,564
2022,Battery Electric (BEV),94805,249
2022,Battery Electric (BEV),94804,581
2022,Battery Electric (BEV),94803,560
2022,Battery Electric (BEV),94801,265
2022,Battery Electric (BEV),94720,3
2022,Battery Electric (BEV),94710,213
2022,Battery Electric (BEV),94709,176
2022,Battery Electric (BEV),94708,740
2022,Battery Electric (BEV),94707,852
2022,Battery Electric (BEV),94706,568
2022,Battery Electric (BEV),94705,743
2022,Battery Electric (BEV),94704,174
2022,Battery Electric (BEV),94703,419
2022,Battery Electric (BEV),94702,432
2022,Battery Electric (BEV),94701,3
2022,Battery Electric (BEV),94662,5
2022,Battery Electric (BEV),94661,1
2022,Battery Electric (BEV),94621,173
2022,Battery Electric (BEV),94620,1
2022,Battery Electric (BEV),94619,643
2022,Battery Electric (BEV),94618,939
2022,Battery Electric (BEV),94614,1
2022,Battery Electric (BEV),94613,1
2022,Battery Electric (BEV),94612,384
2022,Battery Electric (BEV),94611,2300
2022,Battery Electric (BEV),94610,1045
2022,Battery Electric (BEV),94609,436
2022,Battery Electric (BEV),94608,701
2022,Battery Electric (BEV),94607,470
2022,Battery Electric (BEV),94606,309
2022,Battery Electric (BEV),94605,823
2022,Battery Electric (BEV),94604,4
2022,Battery Electric (BEV),94603,125
2022,Battery Electric (BEV),94602,923
2022,Battery Electric (BEV),94601,278
2022,Battery Electric (BEV),94599,70
2022,Battery Electric (BEV),94598,1101
2022,Battery Electric (BEV),94597,657
2022,Battery Electric (BEV),94596,741
2022,Battery Electric (BEV),94595,548
2022,Battery Electric (BEV),94592,39
2022,Battery Electric (BEV),94591,893
2022,Battery Electric (BEV),94590,284
2022,Battery Electric (BEV),94589,206
2022,Battery Electric (BEV),94588,1583
2022,Battery Electric (BEV),94587,2171
2022,Battery Electric (BEV),94586,34
2022,Battery Electric (BEV),94585,238
2022,Battery Electric (BEV),94583,1772
2022,Battery Electric (BEV),94582,3748
2022,Battery Electric (BEV),94581,8
2022,Battery Electric (BEV),94580,403
2022,Battery Electric (BEV),94579,403
2022,Battery Electric (BEV),94578,465
2022,Battery Electric (BEV),94577,769
2022,Battery Electric (BEV),94576,3
2022,Battery Electric (BEV),94574,270
