_id,Taxable Year,Zip Code,State,City,County,Returns,California AGI,Total Tax Liability
464,2022,91933,CA,Imperial Beach,San Diego,301,"15,996,815","462,970"
465,2022,91934,CA,Jacumba,San Diego,254,"10,391,799","215,755"
466,2022,91935,CA,Jamul,San Diego,"4,225","507,207,336","22,569,055"
467,2022,91941,CA,La Mesa,San Diego,"15,433","1,668,211,636","75,637,013"
468,2022,91942,CA,La Mesa,San Diego,"19,825","1,538,035,283","56,162,241"
469,2022,91943,CA,La Mesa,San Diego,159,"15,118,494","653,059"
470,2022,91944,CA,La Mesa,San Diego,367,"34,299,990","1,286,739"
471,2022,91945,CA,Lemon Grove,San Diego,"12,657","745,265,921","18,765,754"
472,2022,91946,CA,Lemon Grove,San Diego,220,"16,623,483","776,029"
473,2022,91948,CA,Mount Laguna,San Diego,44,"2,997,829","94,203"
474,2022,91950,CA,National City,San Diego,"26,573","1,287,391,049","24,573,315"
475,2022,91951,CA,National City,San Diego,451,"20,814,304","438,467"
476,2022,91962,CA,Pine Valley,San Diego,861,"79,740,672","2,817,854"
477,2022,91963,CA,Potrero,San Diego,663,"31,825,940","631,498"
478,2022,91976,CA,Spring Valley,San Diego,129,"9,100,861","462,761"
479,2022,91977,CA,Spring Valley,San Diego,"27,412","1,694,013,725","46,478,031"
480,2022,91978,CA,Spring Valley,San Diego,"4,656","328,204,353","9,870,526"
481,2022,91979,CA,Spring Valley,San Diego,350,"25,162,433","919,404"
482,2022,91980,CA,Tecate,San Diego,"1,089","42,861,772","747,327"
483,2022,92003,CA,Bonsall,San Diego,"2,867","352,415,824","18,330,552"
484,2022,92004,CA,Borrego Springs,San Diego,"1,367","71,645,877","2,052,209"
485,2022,92007,CA,Cardiff By The Sea,San Diego,"5,593","1,005,450,430","64,595,095"
486,2022,92008,CA,Carlsbad,San Diego,"13,832","2,094,897,657","114,530,008"
487,2022,92009,CA,Carlsbad,San Diego,"20,715","4,104,522,494","238,249,882"
488,2022,92010,CA,Carlsbad,San Diego,"8,791","1,194,630,300","62,479,104"
489,2022,92011,CA,Carlsbad,San Diego,"11,526","1,986,423,358","115,550,701"
490,2022,92013,CA,Carlsbad,San Diego,332,"38,170,349","2,188,126"
491,2022,92014,CA,Del Mar,San Diego,"7,146","3,601,509,153","185,908,649"
492,2022,92018,CA,Carlsbad,San Diego,675,"133,726,979","6,116,980"
493,2022,92019,CA,El Cajon,San Diego,"19,935","1,709,285,120","73,570,240"
494,2022,92020,CA,El Cajon,San Diego,"25,162","1,863,647,135","65,736,291"
