index,ZIP,County,ZIP Code Population,EV Count in Zip,ZEV Sales in County,County Population
463,91715,los angeles,,18.0,125196,"9,663,345"
464,91716,los angeles,,,125196,"9,663,345"
465,91722,los angeles,34087.0,873.0,125196,"9,663,345"
466,91723,los angeles,18200.0,532.0,125196,"9,663,345"
467,91724,los angeles,28113.0,990.0,125196,"9,663,345"
468,91729,san bernardino,,33.0,16021,"2,195,611"
469,91730,san bernardino,71692.0,2209.0,16021,"2,195,611"
470,91731,los angeles,28122.0,678.0,125196,"9,663,345"
471,91732,los angeles,58056.0,1339.0,125196,"9,663,345"
472,91733,los angeles,41716.0,882.0,125196,"9,663,345"
473,91734,los angeles,,10.0,125196,"9,663,345"
474,91737,san bernardino,22797.0,1263.0,16021,"2,195,611"
475,91739,san bernardino,41722.0,2726.0,16021,"2,195,611"
476,91740,los angeles,26160.0,842.0,125196,"9,663,345"
477,91741,los angeles,26166.0,1343.0,125196,"9,663,345"
478,91743,san bernardino,,2.0,16021,"2,195,611"
479,91744,los angeles,78253.0,1369.0,125196,"9,663,345"
480,91745,los angeles,54996.0,2819.0,125196,"9,663,345"
481,91746,los angeles,28256.0,583.0,125196,"9,663,345"
482,91747,los angeles,,3.0,125196,"9,663,345"
483,91748,los angeles,43137.0,2681.0,125196,"9,663,345"
485,91750,los angeles,33267.0,1361.0,125196,"9,663,345"
486,91752,riverside,37551.0,1304.0,19919,"2,492,442"
487,91752,san bernardino,37551.0,1304.0,16021,"2,195,611"
488,91754,los angeles,33176.0,1707.0,125196,"9,663,345"
489,91755,los angeles,26413.0,1222.0,125196,"9,663,345"
490,91756,los angeles,,,125196,"9,663,345"
491,91759,san bernardino,290.0,10.0,16021,"2,195,611"
492,91761,san bernardino,62506.0,2474.0,16021,"2,195,611"
493,91761,riverside,62506.0,2474.0,19919,"2,492,442"
494,91762,san bernardino,63656.0,1848.0,16021,"2,195,611"
495,91762,riverside,63656.0,1848.0,19919,"2,492,442"
496,91763,san bernardino,37515.0,741.0,16021,"2,195,611"
497,91764,san bernardino,55412.0,867.0,16021,"2,195,611"
498,91765,los angeles,44779.0,4016.0,125196,"9,663,345"
499,91766,los angeles,68673.0,1463.0,125196,"9,663,345"
500,91766,san bernardino,68673.0,1463.0,16021,"2,195,611"
501,91767,los angeles,50308.0,881.0,125196,"9,663,345"
502,91768,los angeles,34921.0,516.0,125196,"9,663,345"
503,91769,los angeles,,10.0,125196,"9,663,345"
504,91770,los angeles,58893.0,2608.0,125196,"9,663,345"
505,91771,los angeles,,,125196,"9,663,345"
506,91772,los angeles,,,125196,"9,663,345"
507,91773,los angeles,33917.0,1482.0,125196,"9,663,345"
508,91775,los angeles,23776.0,1438.0,125196,"9,663,345"
509,91776,los angeles,37769.0,1538.0,125196,"9,663,345"
510,91778,los angeles,,10.0,125196,"9,663,345"
511,91780,los angeles,35136.0,2162.0,125196,"9,663,345"
