Data Year,Quarter,COUNTY,Total LDV Sales,ZEV Sales,ZEV Sales Share
2022,Q4,Solano,3544,647,0.182562076749435
2022,Q4,Sonoma,4154,951,0.228935965334617
2022,Q4,Stanislaus,3455,395,0.114327062228654
2022,Q4,Sutter,698,84,0.120343839541547
2022,Q4,Tehama,285,27,0.0947368421052631
2022,Q4,Trinity,45,2,0.0444444444444444
2022,Q4,Tulare,2736,198,0.0723684210526315
2022,Q4,Tuolumne,323,34,0.105263157894736
2022,Q4,Ventura,8233,1842,0.223733754403012
2022,Q4,Yolo,1557,352,0.226075786769428
2022,Q4,Yuba,462,55,0.119047619047619
2023,Q1,Alameda,16640,7089,0.426021634615384
2023,Q1,Alpine,10,5,0.5
2023,Q1,Amador,262,33,0.125954198473282
2023,Q1,Butte,1280,142,0.1109375
2023,Q1,Calaveras,340,43,0.126470588235294
2023,Q1,Colusa,135,4,0.0296296296296296
2023,Q1,Contra Costa,11513,3603,0.312950577607921
2023,Q1,Del Norte,121,6,0.0495867768595041
2023,Q1,El Dorado,1644,325,0.197688564476885
2023,Q1,Fresno,6674,804,0.120467485765657
2023,Q1,Glenn,167,10,0.059880239520958
2023,Q1,Humboldt,648,100,0.15432098765432
2023,Q1,Imperial,1995,94,0.0471177944862155
2023,Q1,Inyo,161,9,0.0559006211180124
2023,Q1,Kern,6642,639,0.0962059620596205
2023,Q1,Kings,946,58,0.0613107822410148
2023,Q1,Lake,283,31,0.109540636042402
2023,Q1,Lassen,110,6,0.0545454545454545
2023,Q1,Los Angeles,126012,29186,0.231612862267085
2023,Q1,Madera,917,84,0.0916030534351145
2023,Q1,Marin,2872,1051,0.365947075208913
2023,Q1,Mariposa,74,9,0.121621621621621
2023,Q1,Mendocino,449,63,0.140311804008908
2023,Q1,Merced,1496,136,0.0909090909090909
2023,Q1,Modoc,38,1,0.0263157894736842
2023,Q1,Mono,94,14,0.148936170212765
2023,Q1,Monterey,2776,481,0.173270893371757
2023,Q1,Napa,1201,282,0.234804329725228
2023,Q1,Nevada,622,108,0.173633440514469
2023,Q1,Orange,44531,12418,0.278861916417776
2023,Q1,Out Of State,22260,1016,0.0456424079065588
2023,Q1,Placer,4299,881,0.204931379390555
2023,Q1,Plumas,66,4,0.0606060606060606
2023,Q1,Riverside,25550,3832,0.149980430528375
2023,Q1,Sacramento,11781,2549,0.216365334012392
2023,Q1,San Benito,472,75,0.158898305084745
2023,Q1,San Bernardino,21426,3055,0.142583776719873
2023,Q1,San Diego,36942,9136,0.247306588706621
2023,Q1,San Francisco,6585,2218,0.336826119969627
2023,Q1,San Joaquin,6463,1440,0.222806746093145
2023,Q1,San Luis Obispo,2195,505,0.23006833712984
2023,Q1,San Mateo,13766,4637,0.336844399244515
2023,Q1,Santa Barbara,3534,694,0.19637804187889
2023,Q1,Santa Clara,22426,9702,0.432622848479443
2023,Q1,Santa Cruz,1860,484,0.26021505376344
2023,Q1,Shasta,1191,114,0.0957178841309823
2023,Q1,Sierra,17,0,0.0
2023,Q1,Siskiyou,206,11,0.0533980582524271
2023,Q1,Solano,3671,642,0.174884227730863
2023,Q1,Sonoma,4191,905,0.215938916726318
