Data Year,Fuel Type,ZIP,Number of Vehicles
2023,Battery Electric (BEV),91792,720
2023,Battery Electric (BEV),91793,4
2023,Battery Electric (BEV),91801,1363
2023,Battery Electric (BEV),91802,25
2023,Battery Electric (BEV),91803,817
2023,Battery Electric (BEV),91804,1
2023,Battery Electric (BEV),91901,336
2023,Battery Electric (BEV),91902,535
2023,Battery Electric (BEV),91903,4
2023,Battery Electric (BEV),91905,9
2023,Battery Electric (BEV),91906,39
2023,Battery Electric (BEV),91909,2
2023,Battery Electric (BEV),91910,1170
2023,Battery Electric (BEV),91911,829
2023,Battery Electric (BEV),91912,8
2023,Battery Electric (BEV),91913,2353
2023,Battery Electric (BEV),91914,861
2023,Battery Electric (BEV),91915,1401
2023,Battery Electric (BEV),91916,28
2023,Battery Electric (BEV),91917,15
2023,Battery Electric (BEV),91921,17
2023,Battery Electric (BEV),91931,4
2023,Battery Electric (BEV),91932,217
2023,Battery Electric (BEV),91934,9
2023,Battery Electric (BEV),91935,299
2023,Battery Electric (BEV),91941,973
2023,Battery Electric (BEV),91942,693
2023,Battery Electric (BEV),91943,1
2023,Battery Electric (BEV),91944,4
2023,Battery Electric (BEV),91945,358
2023,Battery Electric (BEV),91948,1
2023,Battery Electric (BEV),91950,403
2023,Battery Electric (BEV),91951,3
2023,Battery Electric (BEV),91962,43
2023,Battery Electric (BEV),91963,7
2023,Battery Electric (BEV),91976,1
2023,Battery Electric (BEV),91977,829
2023,Battery Electric (BEV),91978,249
2023,Battery Electric (BEV),91979,1
2023,Battery Electric (BEV),91980,4
2023,Battery Electric (BEV),92003,220
2023,Battery Electric (BEV),92004,35
2023,Battery Electric (BEV),92007,543
2023,Battery Electric (BEV),92008,1104
2023,Battery Electric (BEV),92009,2888
2023,Battery Electric (BEV),92010,948
2023,Battery Electric (BEV),92011,1444
2023,Battery Electric (BEV),92013,12
2023,Battery Electric (BEV),92014,1269
2023,Battery Electric (BEV),92018,18
2023,Battery Electric (BEV),92019,1081
2023,Battery Electric (BEV),92020,887
2023,Battery Electric (BEV),92021,704
2023,Battery Electric (BEV),92022,4
2023,Battery Electric (BEV),92023,14
2023,Battery Electric (BEV),92024,2973
2023,Battery Electric (BEV),92025,927
2023,Battery Electric (BEV),92026,1328
2023,Battery Electric (BEV),92027,943
2023,Battery Electric (BEV),92028,1370
2023,Battery Electric (BEV),92029,1021
2023,Battery Electric (BEV),92030,8
2023,Battery Electric (BEV),92033,2
2023,Battery Electric (BEV),92036,58
2023,Battery Electric (BEV),92037,2723
2023,Battery Electric (BEV),92038,18
2023,Battery Electric (BEV),92039,5
2023,Battery Electric (BEV),92040,530
2023,Battery Electric (BEV),92046,10
2023,Battery Electric (BEV),92049,4
2023,Battery Electric (BEV),92051,1
2023,Battery Electric (BEV),92052,8
2023,Battery Electric (BEV),92054,698
2023,Battery Electric (BEV),92055,5
2023,Battery Electric (BEV),92056,1377
2023,Battery Electric (BEV),92057,1359
2023,Battery Electric (BEV),92058,499
2023,Battery Electric (BEV),92059,24
2023,Battery Electric (BEV),92060,6
2023,Battery Electric (BEV),92061,52
2023,Battery Electric (BEV),92064,2318
2023,Battery Electric (BEV),92065,663
2023,Battery Electric (BEV),92066,3
